,,,,,,,,,,,
Propofol,mode,Manual,time(sec),bolus(mg),infusion(mg/hr),Conc blood(C1),Conc C2,Conc C3,Conc effect,Target,BIS
,,,850,0,802,3305.556129,2599.870455,264.992039,3280.652417,0,44.6
,,,855,0,802,3307.318106,2603.828803,266.023985,3280.946168,0,44.6
,,,860,0,802,3309.07566,2607.774835,267.056178,3281.256659,0,44.6
,,,865,0,802,3310.828776,2611.708593,268.088617,3281.583577,0,44.6
,,,870,0,802,3312.577442,2615.630123,269.121299,3281.926738,0,44.6
,,,875,0,802,3314.321649,2619.539467,270.154223,3282.285891,0,44.6
,,,880,0,802,3316.061386,2623.436669,271.187388,3282.660774,0,44.6
,,,885,0,802,3317.796648,2627.321772,272.220792,3283.051199,0,44.6
,,,890,0,802,3319.527429,2631.194819,273.254433,3283.456903,0,44.5
,,,895,0,802,3321.253726,2635.055852,274.28831,3283.877698,0,44.5
,,,900,0,802,3322.975536,2638.904912,275.322421,3284.313332,0,44.5
,,,905,0,802,3324.692858,2642.742043,276.356765,3284.763579,0,44.5
,,,910,0,802,3326.405692,2646.567286,277.39134,3285.228249,0,44.5
,,,915,0,802,3328.114039,2650.380682,278.426144,3285.707103,0,44.5
,,,920,0,802,3329.817901,2654.182273,279.461176,3286.199952,0,44.5
,,,925,0,802,3331.517282,2657.972098,280.496434,3286.706555,0,44.5
,,,930,0,802,3333.212184,2661.750201,281.531916,3287.226746,0,44.5
,,,935,0,802,3334.902614,2665.51662,282.567622,3287.760287,0,44.5
,,,940,0,802,3336.588576,2669.271397,283.603549,3288.30696,0,44.5
,,,945,0,802,3338.270076,2673.014571,284.639696,3288.866612,0,44.5
,,,950,0,802,3339.947121,2676.746182,285.676061,3289.438991,0,44.5
,,,955,0,802,3341.619718,2680.466271,286.712642,3290.023954,0,44.5
,,,960,0,802,3343.287875,2684.174878,287.749439,3290.621286,0,44.5
,,,965,0,802,3344.951601,2687.87204,288.786449,3291.23077,0,44.5
,,,970,0,802,3346.610904,2691.557799,289.823671,3291.852251,0,44.5
,,,975,0,802,3348.265792,2695.232192,290.861103,3292.485527,0,44.5
,,,980,0,802,3349.916277,2698.89526,291.898745,3293.130417,0,44.5
,,,985,0,802,3351.562366,2702.54704,292.936593,3293.786741,0,44.5
,,,990,0,802,3353.204072,2706.187572,293.974647,3294.454321,0,44.4
,,,995,0,802,3354.841403,2709.816893,295.012905,3295.132963,0,44.4
,,,1000,0,802,3356.474371,2713.435043,296.051365,3295.822501,0,44.4
,,,1005,0,802,3358.102987,2717.042059,297.090027,3296.522768,0,44.4
,,,1010,0,802,3359.727262,2720.637979,298.128888,3297.233582,0,44.4
,,,1015,0,802,3361.347208,2724.222842,299.167946,3297.954789,0,44.4
,,,1020,0,802,3362.962835,2727.796685,300.207201,3298.686209,0,44.4
,,,1025,0,802,3364.574156,2731.359545,301.246651,3299.427661,0,44.4
,,,1030,0,802,3366.181183,2734.91146,302.286295,3300.179015,0,44.4
,,,1035,0,802,3367.783927,2738.452468,303.32613,3300.940077,0,44.4
,,,1040,0,802,3369.382402,2741.982605,304.366155,3301.710718,0,44.4
,,,1045,0,802,3370.976618,2745.501909,305.406369,3302.490757,0,44.4
,,,1050,0,802,3372.566589,2749.010416,306.446771,3303.280049,0,44.4
,,,1055,0,802,3374.152327,2752.508163,307.487358,3304.07844,0,44.4
,,,1060,0,802,3375.733845,2755.995186,308.528129,3304.885774,0,44.3
,,,1065,0,802,3377.311155,2759.471523,309.569083,3305.701894,0,44.3
,,,1070,0,802,3378.884271,2762.93721,310.610218,3306.526669,0,44.3
,,,1075,0,802,3380.453203,2766.392282,311.651534,3307.359957,0,44.3
,,,1080,0,802,3382.017967,2769.836775,312.693027,3308.2016,0,44.3
,,,1085,0,802,3383.578574,2773.270727,313.734697,3309.051455,0,44.3
,,,1090,0,802,3385.135037,2776.694172,314.776543,3309.909365,0,44.3
,,,1095,0,802,3386.68737,2780.107146,315.818563,3310.77523,0,44.3
,,,1100,0,802,3388.235584,2783.509685,316.860755,3311.648889,0,44.3
,,,1105,0,802,3389.779694,2786.901824,317.903118,3312.530214,0,44.3
,,,1110,0,802,3391.319712,2790.283598,318.94565,3313.419063,0,44.3
,,,1115,0,802,3392.855651,2793.655043,319.988351,3314.315285,0,44.3
,,,1120,0,802,3394.387525,2797.016194,321.031218,3315.218797,0,44.2
,,,1125,0,802,3395.915345,2800.367085,322.074251,3316.129438,0,44.2
,,,1130,0,802,3397.439126,2803.707752,323.117447,3317.047094,0,44.2
,,,1135,0,802,3398.958879,2807.038229,324.160806,3317.971627,0,44.2
,,,1140,0,802,3400.474619,2810.358551,325.204326,3318.902898,0,44.2
,,,1145,0,802,3401.986358,2813.668752,326.248005,3319.840826,0,44.2
,,,1150,0,802,3403.494109,2816.968866,327.291842,3320.785273,0,44.2
,,,1155,0,802,3404.997886,2820.258928,328.335836,3321.736112,0,44.2
,,,1160,0,802,3406.4977,2823.538972,329.379986,3322.693223,0,44.2
,,,1165,0,802,3407.993565,2826.809031,330.424289,3323.656475,0,44.2
,,,1170,0,802,3409.485494,2830.06914,331.468745,3324.625798,0,44.1
